,Company,Search Link,Link,Title,PDF
47,analog devices,https://www.corporateregister.com/search/?s=analog+devices&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=121736-6YwdGhRETwI,Sustainability Report 2016–2017,https://www.corporateregister.com/a10723/132183-20Su-32913567Q9976511925J-Gl.pdf
48,analog devices,https://www.corporateregister.com/search/?s=analog+devices&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=121736-6YwdGhRETwI,Sustainability Report 2016–2017,https://www.corporateregister.com/a10723/130169-20Su-27595828X42471541320R-Gl.pdf
49,analog devices,https://www.corporateregister.com/search/?s=analog+devices&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=90725-7TSCa/PaQE.,Sustainability Report 2014–2015,https://www.corporateregister.com/a10723/124138-19Su-34137950L36308627068H-Gl.pdf
50,analog devices,https://www.corporateregister.com/search/?s=analog+devices&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=90725-7TSCa/PaQE.,Sustainability Report 2014–2015,https://www.corporateregister.com/a10723/135645-20Co-36352860H2529507960I-Gl.pdf
51,analog devices,https://www.corporateregister.com/search/?s=analog+devices&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=73462-FJ/OZdFaKXQ,Sustainability Report 2012–2013,No PDF available
52,analog devices,https://www.corporateregister.com/search/?s=analog+devices&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=73462-FJ/OZdFaKXQ,Sustainability Report 2012–2013,https://www.corporateregister.com/a10723/140232-21Co-28607328N586029528C-Gl.pdf
53,archer daniels,https://www.corporateregister.com/search/?s=archer+daniels&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=140514-RhlA0wWDEuE,2019 Corporate Sustainability Report. Local Action Global Impact,https://www.corporateregister.com/a10723/135166-20Su-29601354I1930711144E-Gl.pdf
54,archer daniels,https://www.corporateregister.com/search/?s=archer+daniels&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=115624-uZqnnw6W0ZI,2018 Corporate Sustainability Report. Local Action. Global Impact,https://www.corporateregister.com/a10723/124782-19Su-34814178T6501266982L-Gl.pdf
55,archer daniels,https://www.corporateregister.com/search/?s=archer+daniels&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=108972-LYeV8.FwWSA,2017 Corporate Sustainability Report. Transforming the way we do business for a brighter future,https://www.corporateregister.com/a10723/129705-20Su-28794510P7085005920P-Gl.pdf
56,archer daniels,https://www.corporateregister.com/search/?s=archer+daniels&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=94065-nNlcp4.U2vc,2016 Corporate Sustainability Report. Our Sustainability Journey,https://www.corporateregister.com/a10723/114091-19Su-31146843E3836652148G-Gl.pdf
57,archer daniels,https://www.corporateregister.com/search/?s=archer+daniels&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=85336-zCyq6hSV4YY,2015 Corporate Responsibility Report,https://www.corporateregister.com/a10723/129011-20Su-31220662L488048613L-Gl.pdf
58,automatic data processing,https://www.corporateregister.com/search/?s=automatic+data+processing&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=138149-dZrwNJ9r5lo,Global Corporate Social Responsibility Report (2020). Creating a Helpful and Hopeful World,https://www.corporateregister.com/a10723/135103-20Su-38234149N1404395685F-Gl.pdf
59,automatic data processing,https://www.corporateregister.com/search/?s=automatic+data+processing&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=125015-t9prgbvtCWo,Global Corporate Social Responsibility Report Issued: November 2019. Innovating a Better Way to Work,https://www.corporateregister.com/a10723/119853-19Su-30322809S3289964850O-Gl.pdf
60,automatic data processing,https://www.corporateregister.com/search/?s=automatic+data+processing&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=108061-WM/aViOLgIA,Corporate Social Responsibility Report Issued February 2018,https://www.corporateregister.com/a10723/130005-20Co-38091465C21899862270H-US.pdf
61,alliance data systems corporation ,https://www.corporateregister.com/search/?s=alliance+data+systems+corporation+&d=2&org=&sec=All&sub=All&our=All&cou=All&yr=,https://www.corporateregister.com/search/report.cgi?num=129353-OklX.AROlwU,Alliance Data 2019 ESG Performance Report,https://www.corporateregister.com/a10723/128669-20Su-34483292W53727542316K-Gl.pdf
