,Date,SOURCEURL,AvgTone,N_label,Label
912,2018-08-16,https://prwire.com.au/pr/78778/booking-accomodations-in-papua-new-guinea-online-now-easy-with-pngbooking-com,1.84696569920844,12.0,Management_Of_Legal_And_Regulatory_Framework
914,2018-08-29,http://english.astroawani.com/lifestyle/go-shop-partners-booking-com-184240,6.90690690690691,22.0,Customer_Privacy
917,2018-09-10,https://www.booking.com/hotel/us/embassy-suites-las-vegas.en-gb.html,1.74418604651163,0.0,Business_Ethics
919,2018-09-18,https://www.traveldailynews.com/post/bookingcom-opens-nominations-for-technology-playmaker-awards-2019,7.994923857868019,12.0,Management_Of_Legal_And_Regulatory_Framework
920,2018-09-20,https://www.tnooz.com/article/home-advantage-amsterdam-clicks-for-booking-com-event/,3.2988921484732003,4.0,Competitive_Behavior
921,2018-09-24,https://www.cnbc.com/2018/09/21/photos-stay-in-the-tiny-house-kevin-hart-curated-for-bookingcom.html,1.56862745098039,3.0,Business_Model_Resilience
922,2018-09-25,https://www.digitaltrends.com/home/kevin-hart-tiny-house-contest-booking-com/,3.1660712619835403,15.0,Product_Design_And_Lifecycle_Management
923,2018-10-02,https://www.mouthshut.com/review/Booking-com-review-smltnqnurrn,-2.37043228614189,12.0,Management_Of_Legal_And_Regulatory_Framework
924,2018-10-07,https://joodsactueel.be/2018/07/31/booking-com-amends-jerusalem-as-israeli-settlement-after-inquiry-from-joods-actueel/,-2.69058295964126,10.0,Human_Rights_And_Community_Relations
925,2018-10-17,https://www.booking.com/hotel/gb/jarvis-leeds.en-gb.html,9.42408376963351,0.0,Business_Ethics
926,2018-10-18,https://www.lonelyplanet.com/news/2018/10/18/travel-predictions-booking-com/,0.7545387352431578,15.0,Product_Design_And_Lifecycle_Management
927,2018-11-02,http://www.traveller.com.au/traveller-letters-why-travellers-need-to-check-their-bookingcom-reservations-carefully-h174r5,0.17714791851196,4.0,Competitive_Behavior
928,2018-11-05,https://ftnnews.com/tours/38165-booking-com-launches-its-third-booking-heroes-competition,6.34249471458774,3.0,Business_Model_Resilience
929,2018-11-20,http://www.jordantimes.com/news/region/after-airbnb-bookingcom-asked-remove-west-bank-settlement-listings,-5.78231292517007,12.0,Management_Of_Legal_And_Regulatory_Framework
930,2018-11-20,https://aawsat.com/english/home/article/1471181/bookingcom-urged-follow-airbnb-removing-israeli-settlement-listings,-4.01606425702811,12.0,Management_Of_Legal_And_Regulatory_Framework
931,2018-11-20,https://www.timesofisrael.com/booking-com-signals-it-wont-remove-settlement-rental-listings/,-2.78372591006424,12.0,Management_Of_Legal_And_Regulatory_Framework
932,2018-11-20,https://www.jpost.com/Israel-News/Human-Rights-Watch-calls-on-bookingcom-to-follow-Airbnb-settler-boycott-572387,-0.46783625730995,12.0,Management_Of_Legal_And_Regulatory_Framework
933,2018-11-20,https://www.dailymaverick.co.za/article/2018-11-20-after-airbnb-booking-com-asked-to-remove-west-bank-listings/,-4.90214685845835,12.0,Management_Of_Legal_And_Regulatory_Framework
934,2018-11-20,http://www.digitaljournal.com/news/world/after-airbnb-calls-for-booking-com-to-remove-west-bank-listings/article/537274,-3.94716680638218,11.0,Labor_Practices
935,2018-11-20,https://www.addiyar.com/article/1633584-next-for-bds-human-rights-watch-pressures-bookingcom-to-follow-airbnb,-4.4299012166133,11.0,Labor_Practices
936,2018-11-20,https://middle-east-online.com/en/after-airbnb-calls-bookingcom-leave-west-bank,-3.93900889453621,12.0,Management_Of_Legal_And_Regulatory_Framework
937,2018-11-20,https://au.news.yahoo.com/airbnb-calls-booking-com-remove-west-bank-listings-111336774--spt.html,-5.06265708408212,8.0,Employee_Engagement_Inclusion_And_Diversity
939,2018-11-20,https://www.i24news.tv/en/news/israel/189106-181120-hrw-urges-booking-com-to-follow-airbnb-pull-israeli-settlement-listings,-5.23882896764253,22.0,Customer_Privacy
940,2018-11-20,https://www.timesofisrael.com/after-airbnb-watchdog-calls-for-booking-com-to-remove-west-bank-listings/,-4.03022670025189,12.0,Management_Of_Legal_And_Regulatory_Framework
941,2018-11-20,https://www.sbs.com.au/news/booking-com-under-pressure-to-follow-airbnb-and-withdraw-west-bank-listings,-4.375,12.0,Management_Of_Legal_And_Regulatory_Framework
942,2018-11-21,https://www.straitstimes.com/world/middle-east/after-airbnb-bookingcom-asked-to-remove-west-bank-listings,-4.82115085536548,12.0,Management_Of_Legal_And_Regulatory_Framework
943,2018-11-21,https://www.dawn.com/news/1446941/bookingcom-urged-to-emulate-airbnb-remove-jewish-settlements-from-listings,-8.50096083538086,8.0,Employee_Engagement_Inclusion_And_Diversity
944,2018-11-23,https://www.mirror.co.uk/travel/news/bookingcom-black-friday-deals-include-13632436,3.7037037037037,18.0,Systemic_Risk_Management
945,2018-11-23,http://www.thejakartapost.com/travel/2018/11/23/after-airbnb-bookingcom-asked-to-remove-west-bank-listings.html,-4.30107526881721,12.0,Management_Of_Legal_And_Regulatory_Framework
946,2018-11-25,https://www.sott.net/article/401452-BDS-bites-Booking-com-wont-give-up-criminal-profits-tries-to-ride-out-the-storm-of-Airbnb-exiting-illegal-Israeli-settlements,-5.967976710334789,12.0,Management_Of_Legal_And_Regulatory_Framework
947,2018-11-27,https://www.koimoi.com/bollywood-news/2-0-in-pakistan-advance-booking-commences-in-full-swing-for-this-rajinikanth-akshay-kumar-starrer/,2.64900662251655,12.0,Management_Of_Legal_And_Regulatory_Framework
948,2018-11-30,https://montreal.ctvnews.ca/villeray-apartment-trashed-after-booking-com-guests-throw-party-in-the-wrong-home-1.4198212,-1.67464114832536,21.0,Air_Quality
949,2018-12-05,http://www.travelbizmonitor.com/Top-Stories/bookingcom-eyes-india-flight-and-car-rentals-49739,0.0,4.0,Competitive_Behavior
951,2019-01-05,https://archive.shine.cn/metro/Booking-company-had-stars-in-its-eyes/shdaily.shtml,-3.46820809248555,4.0,Competitive_Behavior
952,2019-01-09,https://news.gtp.gr/2019/01/08/greece-among-most-welcoming-places-earth-says-booking-com/,7.64119601328904,8.0,Employee_Engagement_Inclusion_And_Diversity
953,2019-01-09,http://www.travelbizmonitor.com/In-Focus/about-73-of-indian-travellers-will-take-more-weekend-trips-in-2019-bookingcom-38756,-1.81818181818181,22.0,Customer_Privacy
954,2019-01-11,http://en.protothema.gr/booking-com-greece-among-the-most-welcoming-places-in-the-world/,8.56031128404669,9.0,Employee_Health_And_Safety
955,2019-01-11,http://www.eglobaltravelmedia.com.au/booking-coms-2018-guest-review-awards-reveals-australias-most-welcoming-places-2/,9.76909413854352,9.0,Employee_Health_And_Safety
