,GLOBALEVENTID,Date,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,EventCode,AvgTone,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor2Geo_FullName,Actor2Geo_CountryCode,SOURCEURL
3494,685133388,20170829,BUS,COMPANY,,BUS,IRN,IRAN,IRN,,160,0.47846889952153,Iran,IR,Iran,IR,http://www.osundefender.com/uber-picked-expedia-ceo-dara-khosrowshahi-new-ceo/
3496,685136531,20170829,BUS,COMPANY,,BUS,MNCUSAGOV,EXPEDIA INC,USA,MNC,40,0.0,"Washington, District of Columbia, United States",US,"Washington, District of Columbia, United States",US,https://skift.com/2017/08/29/expedia-ceo-says-uber-job-is-opportunity-of-a-lifetime/
3499,685144716,20170829,BUS,COMPANY,,BUS,USAMED,REUTERS,USA,MED,10,-4.68619136390803,"San Francisco, California, United States",US,"San Francisco, California, United States",US,http://www.4-traders.com/EXPEDIA-INC-9605918/news/Expedia-U-S-probes-Uber-for-possible-bribery-law-violations-25025024/
3500,685147718,20170829,BUS,COMPANY,,BUS,GOV,PRESIDENT,,GOV,40,-1.06007067137809,"Washington, District of Columbia, United States",US,"Washington, District of Columbia, United States",US,http://fortune.com/2017/08/29/expedia-ceo-dara-khosrowshahi-uber/
3501,685178727,20170830,USA,UNITED STATES,USA,,BUS,COMPANY,,BUS,51,-0.328169053573802,"New York, United States",US,"New York, United States",US,https://www.geekwire.com/2017/reports-expedia-ceo-plans-accept-top-uber-job-sees-role-ousted-leader-kalanick/
3502,685191782,20170830,,,,,USAMED,WALL STREET JOURNAL,USA,MED,43,-1.76905804208439,,,,,http://www.4-traders.com/EXPEDIA-INC-9605918/news/Expedia-In-Sign-That-His-Tenure-Will-Be-Painful-And-Short-Uber-rsquo-s-New-CEO-Thinks-He-Can-Befr-25025331/
3503,685191951,20170830,BUS,INVESTOR,,BUS,LAB,EMPLOYEE,,LAB,50,-4.36507936507936,,,,,https://www.nbcnews.com/tech/tech-news/uber-board-picks-expedia-s-dara-khosrowshahi-new-ceo-n796496?cid=public-rss_20170830
3505,685193829,20170830,USAMED,WALL STREET JOURNAL,USA,MED,,,,,10,-2.60621557828481,"Los Angeles, California, United States",US,,,http://aa.com.tr/en/americas/expedia-boss-accepts-uber-ceo-job/896707
3507,685217151,20170830,LAB,WORKER,,LAB,USA,SAN FRANCISCO,USA,,36,-0.132424809094835,"San Francisco, California, United States",US,"San Francisco, California, United States",US,http://business.inquirer.net/235984/uber-hires-expedia-boss-dara-khosrowshahi-chief
3510,685219037,20170830,,,,,IRN,IRAN,IRN,,13,-2.93097643097644,,,Iran,IR,http://celebcafe.org/expedia-ceo-dara-khosrowshahi-plans-to-accept-uber-s-ceo-job-1228/
3513,685226228,20170830,AUS,AUSTRALIA,AUS,,BUS,COMPANY,,BUS,36,1.1066398390342,"Sydney, New South Wales, Australia",AS,India,IN,https://skift.com/2017/08/30/expedia-ceo-starts-new-job-as-uber-boss-today/
3519,685231957,20170830,,,,,LAB,EMPLOYEE,,LAB,36,-2.2964509394572,,,"New York, United States",US,http://www.stamfordadvocate.com/business/technology/article/Expedia-confirms-CEO-Dara-Khosrowshahi-s-job-12072044.php
